[2025-01-15 20:42:31] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-15 21:11:04] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-18 19:43:47] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-18 19:44:01] INFO django.server "POST /graphql/ HTTP/1.1" 200 46
[2025-01-18 19:44:11] INFO django.server "POST /graphql/ HTTP/1.1" 200 46
[2025-01-18 19:45:23] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-18 19:45:34] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:45:38] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:46:23] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:46:26] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:46:27] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:51:04] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-18 19:51:28] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:51:32] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:51:34] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:51:35] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:51:35] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:51:39] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 19:51:40] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-18 20:04:40] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-19 11:09:30] INFO django.utils.autoreload Watching for file changes with StatReloader
[2025-01-19 11:10:09] INFO django.server "OPTIONS /graphql/ HTTP/1.1" 200 0
[2025-01-19 11:10:09] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 11:10:40] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-19 11:10:43] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-19 11:37:36] INFO django.server "POST /graphql/ HTTP/1.1" 200 46
[2025-01-19 11:37:47] INFO django.server "POST /graphql/ HTTP/1.1" 200 46
[2025-01-19 11:38:45] INFO django.server "POST /graphql/ HTTP/1.1" 200 46
[2025-01-19 11:39:22] INFO django.server "POST /graphql/ HTTP/1.1" 200 42
[2025-01-19 11:39:47] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 11:39:47] INFO django.server "POST /graphql/ HTTP/1.1" 200 82
[2025-01-19 11:39:49] INFO django.server "POST /graphql/ HTTP/1.1" 200 33
[2025-01-19 11:39:49] INFO django.server "POST /graphql/ HTTP/1.1" 200 66
[2025-01-19 11:40:07] INFO django.server "POST /graphql/ HTTP/1.1" 200 87
[2025-01-19 11:40:09] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 11:40:09] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 11:40:16] INFO django.server "POST /graphql/ HTTP/1.1" 200 30
[2025-01-19 11:40:20] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 11:42:20] INFO django.server "POST /graphql/ HTTP/1.1" 200 224
[2025-01-19 11:42:27] INFO django.server "POST /graphql/ HTTP/1.1" 200 29
[2025-01-19 11:42:40] INFO django.server "POST /graphql/ HTTP/1.1" 200 27
[2025-01-19 11:42:41] WARNING django.request Bad Request: /graphql/
[2025-01-19 11:42:41] WARNING django.server "POST /graphql/ HTTP/1.1" 400 172
[2025-01-19 11:43:34] INFO django.server "POST /graphql/ HTTP/1.1" 200 45
[2025-01-19 11:44:05] INFO django.server "POST /graphql/ HTTP/1.1" 200 45
[2025-01-19 11:44:26] INFO django.server "POST /graphql/ HTTP/1.1" 200 87
[2025-01-19 11:44:27] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 11:44:27] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 11:45:03] INFO django.server "POST /graphql/ HTTP/1.1" 200 23
[2025-01-19 11:46:59] INFO django.server "POST /graphql/ HTTP/1.1" 200 39
[2025-01-19 11:46:59] INFO django.server "POST /graphql/ HTTP/1.1" 200 72
[2025-01-19 11:47:01] INFO django.server "POST /graphql/ HTTP/1.1" 200 29
[2025-01-19 11:47:45] INFO django.server "POST /graphql/ HTTP/1.1" 200 27
